project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda,total_hours,emp_count,month_duration
b32d8889-5dcd-e611-80fa-5065f38afa01,Energy Audit,SB,53,1,14000.0,SF,False,132.25,36.0,3.219778640218485
04f7fd63-fcef-e611-80f9-5065f38b4491,Energy Modeling,SB,46,1,14088.0,SF,False,101.0,28.0,10.086449413745662
1ca9aaa5-e5dd-e611-80f7-5065f38be0e1,Energy Modeling,SB,55,1,16705.0,SF,False,91.0,29.0,12.189161995112835
d860cb39-e6dd-e611-80f7-5065f38be0e1,LEED,SB,55,0,80860.0,SF,False,522.5,353.0,38.078810653196165
b63423c6-86de-e611-80f7-5065f38be0e1,Strategic Planning,SB,58,0,79200.0,SF,True,535.75,263.0,11.532064313435594
cb65f356-a9de-e611-80f7-5065f38be0e1,Strategic Planning,SB,67,0,120960.0,SF,False,1149.5,245.0,23.819790960800017
130c825b-f81b-e411-98c5-6c3be5a6aa7c,Energy Modeling,SB,37,0,15750.0,SF,False,95.4,50.0,9.72504568882318
f2beeddc-031c-e411-98c5-6c3be5a6aa7c,M&V,SB,53,1,12250.0,SF,False,94.45,54.0,21.782788147600566
48b3d465-125e-e411-8a09-6c3be5a8b8b0,Energy Modeling,SB,37,1,1800.0,SF,False,11.5,7.0,9.26507731164911
82d56937-5ece-e411-8a8d-6c3be5a8b8b0,Compliance,SB,24,0,4480.0,SF,False,26.25,16.0,23.655516540380706
d9d83287-97fc-e311-96d7-6c3be5a8b8b0,Education,SB,24,0,3000.0,SF,False,14.0,4.0,1.5770344360253803
a3ae586a-62a2-e411-98dc-6c3be5a8b8b0,LEED,SB,82,0,109338.0,SF,False,699.25,434.0,69.12667611244584
e8f8d0c0-dccb-e311-8efd-6c3be5a8ca30,LEED,SB,24,0,206693.29,SF,True,1180.0,314.0,23.622661656296845
6c0867fc-78ba-e111-bad6-78e3b508f847,Energy Modeling,SB,37,1,15656.0,SF,False,130.57999999999998,57.0,23.951210497135463
87a6ec4a-9f1c-e211-8b05-78e3b51146cf,LEED,SB,37,1,28307.5,SF,False,242.0,179.0,24.96971190373519
df638002-2f56-e311-8b1b-78e3b51146cf,LEED,SB,24,1,58900.04,SF,False,449.5,249.0,79.41025483069467
95537cb7-dc8a-e311-8b1b-78e3b51146cf,Energy Modeling,SB,37,0,35250.0,SF,False,35.0,15.0,0.7556623339288281
f32e9e11-0381-e211-8bd7-78e3b51146cf,Energy Modeling,SB,51,0,5425.0,SF,False,19.5,11.0,9.659335920655455
c4f7421a-d082-e211-8bd7-78e3b51146cf,Energy Modeling,SB,51,1,6500.0,SF,False,69.5,35.0,28.12378077578595
b7fdf68c-df8d-e311-8a37-78e3b511b601,Energy Modeling,SB,55,0,16250.0,SF,False,123.0,49.0,1.41276001560607
70454a3d-dab2-e211-8a96-78e3b511b601,Energy Modeling,SB,51,1,4120.0,SF,False,34.25,15.0,29.53654079139202
3f7b642b-d38c-e211-8c2c-78e3b511b601,LEED,SB,37,1,5465.0,SF,False,53.5,49.0,12.681985256370767
7d410caf-9142-e311-b7e1-78e3b511b601,GPR,SB,40,0,2015.0,SF,False,12.5,8.0,1.084211174767449
3e0631d2-d502-e611-810d-c4346bac0260,LEED,SB,84,0,48175.0,SF,False,282.25,135.0,31.967802213597814
5990ad5b-1729-e611-8114-c4346bac0260,Strategic Planning,SB,58,0,60060.0,SF,False,572.0,103.0,6.932380541694902
391231f7-8d29-e511-80da-c4346bac4b64,LEED,SB,58,1,7500.0,SF,True,66.0,26.0,2.792665147128278
401c1277-652a-e511-80da-c4346bac4b64,LEED,SB,57,1,11160.0,SF,True,90.75,28.0,1.4784697837737941
b41f4be5-3bc9-e511-80f6-c4346bac4b64,Energy Modeling,SB,46,1,15480.0,SF,False,106.0,49.0,34.95759666522927
5cbce0cb-b931-e611-810a-c4346bac4b64,LEED,SB,57,1,12600.0,SF,True,128.25,30.0,7.4580586870366945
87442150-c8ca-e511-80f9-c4346bacb92c,Energy Modeling,SB,72,1,29210.0,SF,False,196.75,59.0,25.791084005831742
9699bcca-a139-e611-810a-c4346bacb92c,M&V,SB,45,1,13250.0,SF,False,150.0,72.0,18.69442904371753
1957035e-3b55-e711-8100-e0071b66cf61,Energy Modeling,SB,46,0,14780.0,SF,False,73.5,20.0,8.509414977720281
057e711e-3c55-e711-8100-e0071b66cf61,LEED,SB,44,0,22830.0,SF,False,141.25,90.0,24.082630033470913
adaede4f-c977-e711-8102-e0071b66cf61,Strategic Planning,SB,24,1,27405.0,SF,False,202.5,117.0,8.509414977720281
36259e8c-ebfb-e711-8116-e0071b66cf61,Strategic Planning,SB,67,0,55680.0,SF,True,381.5,112.0,11.597774081603319
0b8f0556-6005-e811-8116-e0071b66cf61,Energy Modeling,SB,46,0,12000.0,SF,False,55.5,11.0,4.139715394566624
6b58442d-da26-e811-8119-e0071b66cf61,LEED,SB,84,0,18500.0,SF,False,102.5,36.0,10.874966631758353
eb54d07d-0947-e811-8120-e0071b66cf61,LEED,SB,84,1,8500.0,SF,True,48.5,34.0,13.799051315222078
ac3ca229-7d24-e711-80fe-e0071b6ad191,LEED,SB,89,1,5940.0,SF,False,37.75,37.0,18.595864391465945
d983caaa-2526-e711-80ff-e0071b6ad191,Energy Modeling,SB,72,1,36359.0,SF,False,217.5,52.0,33.31485246103616
b26039ec-0e09-e711-80fe-e0071b715b91,LEED,SB,89,1,5940.0,SF,False,54.75,40.0,19.844349986652702
2521f67c-c777-e711-811e-e0071b7458a1,Strategic Planning,SB,24,1,22326.0,SF,False,175.5,86.0,8.936528470810488
30a1219b-82b7-e711-8127-e0071b7458a1,M&V,SB,81,0,12810.0,SF,True,69.0,30.0,4.3696995831536585
680e9448-8107-e811-812f-e0071b7458a1,LEED,SB,58,0,9300.0,SF,True,55.25,34.0,8.180866136881662
cb0060ef-8207-e811-812f-e0071b7458a1,LEED,SB,58,0,9300.0,SF,True,46.75,32.0,7.786607527875316
7fe8017d-3753-e411-b300-6c3be5a841e0,Strategic Planning,PM,37,1,5500.0,SF,False,37.25,18.0,1.3470502474383457
eafb81e7-63a2-e411-98dc-6c3be5a8b8b0,Energy Modeling,EN,82,1,44112.0,SF,False,376.75,142.0,47.672436805683894
